length,t_wrapper,t_baseline,t_baseline2,t_wrapper_a,t_baseline_a,t_baseline2_a
1,0.005053,0.002714395523071289,0.00015044212341308594,0.005053,0.002714395523071289,0.00015044212341308594
4,0.005875,0.0028443336486816406,0.0002143383026123047,0.00146875,0.0007110834121704102,5.358457565307617e-05
16,0.006488,0.002696990966796875,0.0013229846954345703,0.0004055,0.0001685619354248047,8.268654346466064e-05
64,0.014049,0.002961874008178711,0.004145383834838867,0.000219515625,4.627928137779236e-05,6.47716224193573e-05
256,0.040471,0.003428220748901367,0.013916492462158203,0.00015808984375,1.3391487300395966e-05,5.436129868030548e-05
1024,0.135689,0.005600929260253906,0.05038118362426758,0.0001325087890625,5.469657480716705e-06,4.920037463307381e-05
4096,0.551033,0.020119667053222656,0.21994590759277344,0.000134529541015625,4.9120280891656876e-06,5.369773134589195e-05
16384,2.145452,0.042429447174072266,0.8569083213806152,0.000130947998046875,2.5896879378706217e-06,5.2301533287391067e-05
65536,8.255661,0.1739966869354248,3.170989990234375,0.0001259713897705078,2.6549787435214967e-06,4.838546738028526e-05
1,0.004564,0.0031218528747558594,0.0001163482666015625,0.004564,0.0031218528747558594,0.0001163482666015625
4,0.005564,0.0029039382934570312,0.00029349327087402344,0.001391,0.0007259845733642578,7.337331771850586e-05
16,0.006648,0.003231525421142578,0.0012047290802001953,0.0004155,0.00020197033882141113,7.529556751251221e-05
64,0.014269,0.003137350082397461,0.003991127014160156,0.000222953125,4.902109503746033e-05,6.236135959625244e-05
256,0.040209,0.005218029022216797,0.019007444381713867,0.00015706640625,2.0382925868034363e-05,7.42478296160698e-05
1024,0.148797,0.009209632873535156,0.05740714073181152,0.0001453095703125,8.993782103061676e-06,5.606166087090969e-05
4096,0.571197,0.032662153244018555,0.23856878280639648,0.000139452392578125,7.974158506840467e-06,5.824433173984289e-05
16384,2.153198,0.0965421199798584,0.8687164783477783,0.0001314207763671875,5.892463377676904e-06,5.302224599290639e-05
65536,8.639931,0.4003582000732422,3.467719316482544,0.0001318348846435547,6.108981324359775e-06,5.291319757816382e-05
1,0.005362,0.004154205322265625,0.00018024444580078125,0.005362,0.004154205322265625,0.00018024444580078125
4,0.004649,0.002930879592895508,0.00036025047302246094,0.00116225,0.000732719898223877,9.006261825561523e-05
16,0.006301,0.0029516220092773438,0.0012743473052978516,0.0003938125,0.00018447637557983398,7.964670658111572e-05
64,0.013365,0.0030143260955810547,0.004846811294555664,0.000208828125,4.709884524345398e-05,7.573142647743225e-05
256,0.047639,0.004546165466308594,0.017597198486328125,0.00018608984375,1.7758458852767944e-05,6.873905658721924e-05
1024,0.146193,0.009214401245117188,0.060658931732177734,0.0001427666015625,8.998438715934753e-06,5.923723801970482e-05
4096,0.576076,0.02691507339477539,0.23601531982421875,0.0001406435546875,6.571062840521336e-06,5.7620927691459656e-05
16384,2.202639,0.09527754783630371,0.9129815101623535,0.00013443841552734375,5.815280019305646e-06,5.572396912612021e-05
65536,8.764892,0.33654046058654785,3.4168524742126465,0.00013374163818359375,5.135199899086729e-06,5.2137031161691993e-05
1,0.004094,0.002665281295776367,0.00010061264038085938,0.004094,0.002665281295776367,0.00010061264038085938
4,0.004899,0.003237009048461914,0.00026869773864746094,0.00122475,0.0008092522621154785,6.717443466186523e-05
16,0.006332,0.003835916519165039,0.0008304119110107422,0.00039575,0.00023974478244781494,5.190074443817139e-05
64,0.014057,0.0029478073120117188,0.004393815994262695,0.000219640625,4.6059489250183105e-05,6.865337491035461e-05
256,0.042934,0.003777027130126953,0.015331268310546875,0.0001677109375,1.475401222705841e-05,5.988776683807373e-05
1024,0.141645,0.0057392120361328125,0.05149245262145996,0.0001383251953125,5.60469925403595e-06,5.028559826314449e-05
4096,0.534839,0.01699519157409668,0.21559882164001465,0.000130575927734375,4.149216692894697e-06,5.26364310644567e-05
16384,2.193439,0.0594635009765625,1.0275180339813232,0.00013387689208984376,3.6293640732765198e-06,6.271472375374287e-05
65536,8.420641,0.20946407318115234,3.2734663486480713,0.00012848878479003906,3.196168108843267e-06,4.9949132517213e-05
1,0.004262,0.0026731491088867188,6.914138793945312e-05,0.004262,0.0026731491088867188,6.914138793945312e-05
4,0.00515,0.002885103225708008,0.00030493736267089844,0.0012875,0.000721275806427002,7.623434066772461e-05
16,0.006733,0.002933502197265625,0.0008614063262939453,0.0004208125,0.00018334388732910156,5.383789539337158e-05
64,0.013238,0.002836942672729492,0.003261089324951172,0.00020684375,4.4327229261398315e-05,5.095452070236206e-05
256,0.04573,0.003916501998901367,0.013601064682006836,0.0001786328125,1.5298835933208466e-05,5.31291589140892e-05
1024,0.135695,0.005671262741088867,0.05101609230041504,0.0001325146484375,5.538342520594597e-06,4.982040263712406e-05
4096,0.529235,0.014536142349243164,0.22292327880859375,0.000129207763671875,3.5488628782331944e-06,5.4424628615379333e-05
16384,2.05512,0.04467439651489258,0.8361673355102539,0.0001254345703125,2.726708771660924e-06,5.103560397401452e-05
65536,8.107884,0.16787981986999512,3.112844944000244,0.00012371649169921875,2.5616427592467517e-06,4.749824438476935e-05
1,0.00506,0.0027289390563964844,0.00011277198791503906,0.00506,0.0027289390563964844,0.00011277198791503906
