length,t_wrapper,t_baseline,t_baseline2,t_wrapper_a,t_baseline_a,t_baseline2_a
1,0.00526,0.0028917789459228516,0.0001373291015625,0.00526,0.0028917789459228516,0.0001373291015625
4,0.005569,0.00290679931640625,0.00037980079650878906,0.00139225,0.0007266998291015625,9.495019912719727e-05
16,0.007808,0.0028371810913085938,0.0009670257568359375,0.000488,0.0001773238182067871,6.0439109802246094e-05
64,0.014256,0.0031080245971679688,0.0034453868865966797,0.00022275,4.856288433074951e-05,5.383417010307312e-05
256,0.054652,0.0046770572662353516,0.020548343658447266,0.000213484375,1.8269754946231842e-05,8.026696741580963e-05
1024,0.143153,0.010246753692626953,0.0656287670135498,0.0001397978515625,1.0006595402956009e-05,6.409059278666973e-05
4096,0.588598,0.024596452713012695,0.35311365127563477,0.00014370068359375,6.004993338137865e-06,8.620938751846552e-05
16384,2.860412,0.1277165412902832,1.0948338508605957,0.000174585693359375,7.795199053362012e-06,6.682335515506566e-05
65536,10.032542,0.3701667785644531,3.4563348293304443,0.00015308444213867187,5.648296792060137e-06,5.273948409012519e-05
1,0.004313,0.0026712417602539062,0.0001285076141357422,0.004313,0.0026712417602539062,0.0001285076141357422
4,0.007007,0.002636432647705078,0.00025773048400878906,0.00175175,0.0006591081619262695,6.443262100219727e-05
16,0.009695,0.003833293914794922,0.0015840530395507812,0.0006059375,0.00023958086967468262,9.900331497192383e-05
64,0.014207,0.0032155513763427734,0.003985166549682617,0.000221984375,5.0242990255355835e-05,6.22682273387909e-05
256,0.045096,0.004365444183349609,0.016736268997192383,0.00017615625,1.705251634120941e-05,6.537605077028275e-05
1024,0.164326,0.009772062301635742,0.0554811954498291,0.000160474609375,9.543029591441154e-06,5.418085493147373e-05
4096,0.600376,0.02587604522705078,0.2413182258605957,0.000146576171875,6.317393854260445e-06,5.8915582485497e-05
16384,2.24117,0.08591437339782715,1.0467243194580078,0.0001367901611328125,5.243797204457223e-06,6.388698238879442e-05
65536,9.221351,0.384490966796875,3.5240185260772705,0.00014070664978027344,5.866866558790207e-06,5.3772255341755226e-05
1,0.00417,0.0028839111328125,8.869171142578125e-05,0.00417,0.0028839111328125,8.869171142578125e-05
4,0.005487,0.0029032230377197266,0.0004227161407470703,0.00137175,0.0007258057594299316,0.00010567903518676758
16,0.008197,0.003560781478881836,0.0014977455139160156,0.0005123125,0.00022254884243011475,9.360909461975098e-05
64,0.014559,0.0031812191009521484,0.0046389102935791016,0.000227484375,4.970654845237732e-05,7.248297333717346e-05
256,0.046288,0.004555940628051758,0.016081571578979492,0.0001808125,1.779664307832718e-05,6.281863898038864e-05
1024,0.15985,0.008723735809326172,0.0598597526550293,0.000156103515625,8.51927325129509e-06,5.845678970217705e-05
4096,0.576374,0.025678157806396484,0.2804148197174072,0.00014071630859375,6.269081495702267e-06,6.846064934507012e-05
16384,2.238629,0.0875101089477539,0.9422500133514404,0.00013663507080078125,5.341193173080683e-06,5.751037679146975e-05
65536,10.524065,0.4479043483734131,3.517699956893921,0.00016058448791503907,6.834477972006425e-06,5.367584162740968e-05
1,0.004167,0.003039836883544922,0.00010371208190917969,0.004167,0.003039836883544922,0.00010371208190917969
4,0.004419,0.0031881332397460938,0.0002696514129638672,0.00110475,0.0007970333099365234,6.74128532409668e-05
16,0.007565,0.003446817398071289,0.0017337799072265625,0.0004728125,0.00021542608737945557,0.00010836124420166016
64,0.014455,0.0033121109008789062,0.004488468170166016,0.000225859375,5.175173282623291e-05,7.0132315158844e-05
256,0.046128,0.004610538482666016,0.01775956153869629,0.0001801875,1.8009915947914124e-05,6.937328726053238e-05
1024,0.156833,0.010610818862915039,0.07218670845031738,0.0001531572265625,1.0362127795815468e-05,7.049483247101307e-05
4096,0.547093,0.03285932540893555,0.2675950527191162,0.000133567626953125,8.022296242415905e-06,6.533082341775298e-05
16384,2.207188,0.08256077766418457,0.9099721908569336,0.000134716064453125,5.039109964855015e-06,5.554029485210776e-05
65536,12.64315,0.5588796138763428,4.760552644729614,0.00019291915893554688,8.527826139470562e-06,7.264026862685569e-05
1,0.005916,0.0036890506744384766,0.00015234947204589844,0.005916,0.0036890506744384766,0.00015234947204589844
4,0.007233,0.0033926963806152344,0.00038552284240722656,0.00180825,0.0008481740951538086,9.638071060180664e-05
16,0.009503,0.0033533573150634766,0.0012755393981933594,0.0005939375,0.00020958483219146729,7.972121238708496e-05
64,0.017385,0.0041158199310302734,0.005277395248413086,0.000271640625,6.430968642234802e-05,8.245930075645447e-05
256,0.060453,0.005555629730224609,0.020946979522705078,0.00023614453125,2.170167863368988e-05,8.182413876056671e-05
1024,0.211783,0.01106405258178711,0.0882105827331543,0.0002068193359375,1.0804738849401474e-05,8.614314720034599e-05
4096,0.887732,0.060486555099487305,0.7018184661865234,0.0002167314453125,1.4767225366085768e-05,0.0001713423989713192
16384,3.973267,0.155808687210083,1.5776007175445557,0.00024250897216796874,9.509807568974793e-06,9.628910629544407e-05
65536,14.014462,0.40434837341308594,3.6981024742126465,0.00021384371948242187,6.1698665376752615e-06,5.642856558552012e-05
