length,t_opt,t_baseline,t_opt_a,t_baseline_a
1,0.018168,0.022699,0.018168,0.022699
4,0.0178,0.018747,0.00445,0.00468675
16,0.022561,0.023713,0.0014100625,0.0014820625
64,0.022418,0.025576,0.00035028125,0.000399625
256,0.01893,0.039948,7.39453125e-05,0.000156046875
1024,0.020027,0.055185,1.95576171875e-05,5.38916015625e-05
4096,0.022322,0.201582,5.44970703125e-06,4.921435546875e-05
16384,0.018479,0.464792,1.12786865234375e-06,2.836865234375e-05
65536,0.030143,2.34263,4.599456787109375e-07,3.574569702148438e-05
1,0.020125,0.033132,0.020125,0.033132
4,0.025704,0.018348,0.006426,0.004587
16,0.027106,0.018642,0.001694125,0.001165125
64,0.019119,0.020085,0.000298734375,0.000313828125
256,0.021583,0.028874,8.430859375e-05,0.0001127890625
1024,0.02642,0.053582,2.580078125e-05,5.2326171875e-05
4096,0.020684,0.217047,5.0498046875e-06,5.2989990234375e-05
16384,0.018837,0.531421,1.14971923828125e-06,3.243536376953125e-05
65536,0.045114,2.547889,6.88385009765625e-07,3.8877700805664064e-05
1,0.02005,0.029489,0.02005,0.029489
4,0.024358,0.020888,0.0060895,0.005222
16,0.026478,0.022191,0.001654875,0.0013869375
64,0.025382,0.033071,0.00039659375,0.000516734375
256,0.020083,0.031839,7.844921875e-05,0.00012437109375
1024,0.019648,0.056932,1.91875e-05,5.559765625e-05
4096,0.028285,0.205102,6.905517578125e-06,5.007373046875e-05
16384,0.021241,0.471603,1.29644775390625e-06,2.878436279296875e-05
65536,0.027052,1.912276,4.1278076171875e-07,2.917901611328125e-05
1,0.019082,0.021671,0.019082,0.021671
4,0.019472,0.018605,0.004868,0.00465125
16,0.028675,0.019984,0.0017921875,0.001249
64,0.020403,0.025376,0.000318796875,0.0003965
256,0.022362,0.032136,8.73515625e-05,0.00012553125
1024,0.027922,0.069874,2.7267578125e-05,6.8236328125e-05
4096,0.024925,0.209012,6.085205078125e-06,5.10283203125e-05
16384,0.032156,0.501036,1.962646484375e-06,3.0580810546875e-05
65536,0.027225,1.903598,4.154205322265625e-07,2.9046600341796873e-05
1,0.019149,0.018916,0.019149,0.018916
4,0.025146,0.017926,0.0062865,0.0044815
16,0.019529,0.019176,0.0012205625,0.0011985
64,0.032539,0.020652,0.000508421875,0.0003226875
256,0.020532,0.028139,8.0203125e-05,0.00010991796875
