length,t_opt,t_baseline,t_opt_a,t_baseline_a
1,0.034713,0.021077,0.034713,0.021077
4,0.023194,0.021844,0.0057985,0.005461
16,0.031223,0.025096,0.0019514375,0.0015685
64,0.03146,0.033418,0.0004915625,0.00052215625
256,0.023111,0.037138,9.027734375e-05,0.0001450703125
1024,0.023951,0.06277,2.33896484375e-05,6.1298828125e-05
4096,0.032012,0.199414,7.8154296875e-06,4.868505859375e-05
16384,0.02517,0.580907,1.5362548828125e-06,3.545574951171875e-05
65536,0.022324,2.136124,3.4063720703125e-07,3.259466552734375e-05
1,0.028657,0.03277,0.028657,0.03277
4,0.02411,0.037502,0.0060275,0.0093755
16,0.019638,0.02183,0.001227375,0.001364375
64,0.021392,0.023156,0.00033425,0.0003618125
256,0.02491,0.02915,9.73046875e-05,0.0001138671875
1024,0.021223,0.071223,2.07255859375e-05,6.95537109375e-05
4096,0.028142,0.214536,6.87060546875e-06,5.2376953125e-05
16384,0.019929,0.463878,1.21636962890625e-06,2.83128662109375e-05
65536,0.026142,1.846307,3.98895263671875e-07,2.8172409057617186e-05
1,0.025923,0.029387,0.025923,0.029387
4,0.02004,0.028379,0.00501,0.00709475
16,0.01889,0.023483,0.001180625,0.0014676875
64,0.033789,0.028929,0.000527953125,0.000452015625
256,0.030588,0.040348,0.000119484375,0.000157609375
1024,0.028918,0.054293,2.8240234375e-05,5.30205078125e-05
4096,0.025721,0.199609,6.279541015625e-06,4.8732666015625e-05
16384,0.026873,0.447233,1.64019775390625e-06,2.729693603515625e-05
65536,0.02784,1.9101,4.248046875e-07,2.914581298828125e-05
1,0.025737,0.028758,0.025737,0.028758
4,0.022795,0.042428,0.00569875,0.010607
16,0.025429,0.032537,0.0015893125,0.0020335625
64,0.028195,0.028183,0.000440546875,0.000440359375
256,0.021513,0.029456,8.403515625e-05,0.0001150625
1024,0.021598,0.058681,2.1091796875e-05,5.73056640625e-05
4096,0.020137,0.221073,4.916259765625e-06,5.3972900390625e-05
16384,0.021209,0.593527,1.29449462890625e-06,3.622601318359375e-05
65536,0.033688,1.749426,5.140380859375e-07,2.6694122314453124e-05
1,0.023063,0.020127,0.023063,0.020127
4,0.029321,0.025925,0.00733025,0.00648125
16,0.02037,0.022502,0.001273125,0.001406375
64,0.028912,0.022109,0.00045175,0.000345453125
256,0.03083,0.038412,0.0001204296875,0.000150046875
1024,0.020108,0.058028,1.963671875e-05,5.666796875e-05
4096,0.025711,0.2513,6.277099609375e-06,6.13525390625e-05
16384,0.054374,1.067684,3.3187255859375e-06,6.5166259765625e-05
65536,0.031357,2.825187,4.784698486328125e-07,4.310893249511719e-05
